&title=[宴]CYCLES
&artist=Masayoshi Minoshima feat. 綾倉盟
&first=0
&wholebpm=135
&shortid=100230
&genreid=107
&genre=宴会場
&versionid=21
&version=BUDDiES
&demo_seek=45.6
&demo_len=14.4
&clock_count=4


&lv_7=13?
&des_7=
&inote_7=(135){1},
1<4[2:1],
2-5[2:1]*qq8[2:1],
2p3[2:1],
8p3[2:1],
7<4[2:1]*pp7[2:1],
1s5[2:1],
{2}3/7,1/5,
{4}3/7,1/5,3/7,1>4[8:1]/5<8[8:1],
3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],
3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],
3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],
3q7[8:1]/7q3[8:1],3>8[8:1]/7<4[8:1],3b/7b,2>5[8:1]/6<1[8:1],
2bp6[8:1]/6bp2[8:1],2>5[8:1]/6<1[8:1],2bp6[8:1]/6bp2[8:1],2>5[8:1]/6<1[8:1],
2bp6[8:1]/6bp2[8:1],2>5[8:1]/6<1[8:1],2bp6[8:1]/6bp2[8:1],2>5[8:1]/6<1[8:1],
2bp6[8:1]/6bp2[8:1],2>5[8:1]/6<1[8:1],2p6[8:1]/6p2[8:1],2>5[8:1]/6<1[8:1],
2p6[8:1]/6p2[8:1],2>5[8:1]/6<1[8:1],2b/6b,4b>8[1:1]/8b<4[1:1],
4b/8b,
E

